Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3037,101, ,S0,443 EAST 180 STREET                      ,            ,10457,1,2,3,1293,2310,1952,1,S0,0,2016-08-06 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3043,55, ,A1,1948 BATHGATE AVENUE                     ,            ,10457,1,0,1,2356,2047,1901,1,A1,220000,2016-06-22 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1,2047 BATHGATE AVENUE                     ,            ,10457,1,0,1,2329,1431,1901,1,A1,273796,2016-09-21 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1,2047 BATHGATE AVENUE                     ,            ,10457,1,0,1,2329,1431,1901,1,A1,231244,2016-09-21 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,27, ,A1,538 EAST 182 STREET                      ,            ,10457,1,0,1,1209,1048,1901,1,A1,0,2016-09-20 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,27, ,A1,538 EAST 182 STREET                      ,            ,10457,1,0,1,1209,1048,1901,1,A1,0,2016-03-22 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,28, ,A1,540 EAST 182 STREET                      ,            ,10457,1,0,1,1209,1048,1901,1,A1,290000,2016-09-27 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,86, ,S0,2364 WASHINGTON AVENUE                   ,            ,10458,1,2,3,1911,4080,1931,1,S0,0,2016-03-17 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,102, ,A1,2329 BASSFORD AVENUE                     ,            ,10458,1,0,1,919,1248,1901,1,A1,0,2016-01-19 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2900,61, ,S2,406 EAST TREMONT AVENUE                  ,            ,10457,2,1,3,1855,4452,1931,1,S2,399000,2016-02-24 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,117, ,B1,1538 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2000,2400,1993,1,B1,493000,2016-04-13 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,151, ,B1,519 EAST 171 STREET                      ,            ,10457,2,0,2,2000,2400,1993,1,B1,0,2016-10-24 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,137, ,B1,541 CLAREMONT PARKWAY                    ,            ,10457,2,0,2,3664,2394,1995,1,B1,470000,2016-07-20 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,149, ,S2,2260 WEBSTER AVENUE                      ,            ,10457,2,1,3,1620,3240,1931,1,S2,550000,2016-03-11 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,130, ,B1,462 EAST 179 STREET                      ,            ,10457,2,0,2,1790,2340,1998,1,B1,0,2016-12-05 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,140, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457,2,0,2,4124,2340,1998,1,B1,445000,2016-08-30 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,6, ,B1,440 EAST 185 STREET                      ,            ,10458,2,0,2,1500,3200,1997,1,B1,422500,2016-06-10 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,42, ,B1,440 EAST 186 STREET                      ,            ,10458,2,0,2,2000,2112,1901,1,B1,0,2016-06-30 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,130, ,B1,469A EAST 184 STREET                     ,            ,10458,2,0,2,1016,1050,2006,1,B1,518000,2016-08-03 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3045,16, ,B3,2060 BATHGATE AVE                        ,            ,10457,2,0,2,1429,1872,1910,1,B3,250000,2016-11-17 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3046,7, ,B2,2038 WASHINGTON AVENUE                   ,            ,10457,2,0,2,3732,2901,2000,1,B2,494000,2016-09-29 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3046,7, ,B2,2038 WASHINGTON AVENUE                   ,            ,10457,2,0,2,3732,2901,2000,1,B2,0,2016-04-13 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3047,9, ,B9,2122 WASHINGTON AVENUE                   ,            ,10457,2,0,2,1258,2340,1901,1,B9,240000,2016-11-14 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3048,12, ,B2,2174 BATHGATE AVENUE                     ,            ,10457,2,0,2,4973,4375,1901,1,B2,680000,2016-08-05 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3048,29, ,S2,542 EAST 182 STREET                      ,            ,10457,2,1,3,1612,2778,1901,1,S2,0,2016-03-22 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,85, ,B1,2241 BATHGATE AVENUE                     ,            ,10457,2,0,2,1562,3382,2004,1,B1,430000,2016-02-03 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,93, ,B2,2238 BASSFORD AVENUE                     ,            ,10457,2,0,2,1301,2300,1901,1,B2,495000,2016-04-13 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9,509 EAST 183 STREET                      ,            ,10458,2,0,2,1420,1870,1901,1,B9,290000,2016-12-02 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9,509 EAST 183 STREET                      ,            ,10458,2,0,2,1420,1870,1901,1,B9,165000,2016-09-02 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9,509 EAST 183 STREET                      ,            ,10458,2,0,2,1420,1870,1901,1,B9,0,2016-09-02 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,6, ,B9,2304 BASSFORD AVE                        ,            ,10458,2,0,2,2129,2960,1901,1,B9,0,2016-06-30 00:00:00
