Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,31,,A5,1942 81ST STREET,,11370,1,0,1,1800,1224,1945,1,A5,775000,2019-04-05 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,38,,A5,19-56 81ST STREET,,11370,1,0,1,1800,1224,1945,1,A5,0,2019-06-18 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,41,,A5,1962 81ST STREET,,11370,1,0,1,1800,1224,1945,1,A5,0,2019-11-21 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,41,,A5,1962 81ST ST,,11370,1,0,1,1800,1224,1945,1,A5,0,2019-11-12 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,12,,A5,2114 81 STREET,,11370,1,0,1,1800,1224,1950,1,A5,0,2019-04-24 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,37,,A5,21-64 81ST STREET,,11370,1,0,1,1800,1224,1950,1,A5,670000,2019-12-06 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,61,,A5,21-21 80TH STREET,,11370,1,0,1,1800,1224,1950,1,A5,985000,2019-09-26 00:00:00
4,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS,1,949,60,,B1,19-61 80TH STREET,,11370,2,0,2,2000,2400,1945,1,B1,990000,2019-05-01 00:00:00
4,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS,1,949,60,,B1,19-61 80TH STREET,,11370,2,0,2,2000,2400,1945,1,B1,0,2019-06-20 00:00:00
4,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS,1,976,28,,B3,2146 81ST STREET,,11370,2,0,2,1800,1224,1950,1,B3,735000,2019-02-19 00:00:00
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949,63,,C0,19-55 80TH STREET,,11370,3,0,3,2000,2835,1945,1,C0,0,2019-11-05 00:00:00
4,AIRPORT LA GUARDIA,07 RENTALS - WALKUP APARTMENTS,2A,949,68,,C2,19-49 80TH STREET,,11370,6,0,6,2415,4014,1971,2,C2,0,2019-09-24 00:00:00
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1028,,R2,"80-12 19TH AVENUE, 2",2,11370,1,0,1,0,0,,2,R2,480000,2019-01-29 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,14,,A6,3-16 BEACH 41ST STREET,,11691,1,0,1,2071,450,1920,1,A6,0,2019-06-25 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,22,,A6,342 BEACH 44TH ST,,11691,1,0,1,1915,563,1920,1,A6,250000,2019-10-04 00:00:00
