Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3030,59, ,A1,418 EAST 182 STREET                      ,            ,10457,1,0,1,1165,1488,1899,1,A1,225000,2014-12-11 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1B,3035,42, ,V0,1979 WASHINGTON AVENUE                   ,            ,10457,1,0,1,7434,0,1899,1,A1,580000,2014-02-07 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,64, ,A1,467 EAST 185TH STREET                    ,            ,10458,1,0,1,1667,1296,1910,1,A1,225000,2014-09-29 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1,2047 BATHGATE AVE                        ,            ,10457,1,0,1,2329,1431,1901,1,A1,10,2014-01-22 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,117, ,B1,1538 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2000,2400,1993,1,B1,297000,2014-06-13 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,131, ,B1,484 CLAREMONT PARKWAY                    ,            ,10457,2,0,2,2000,2400,1993,1,B1,390000,2014-10-17 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,152, ,B1,517 EAST 171 STREET                      ,            ,10457,2,0,2,2000,2400,1993,1,B1,0,2014-05-09 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,60, ,B3,4469 PARK AVENUE                         ,            ,10457,2,0,2,1542,1542,1899,1,B3,300000,2014-03-28 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,140, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457,2,0,2,4124,2340,1998,1,B1,0,2014-07-15 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,37, ,B2,2083 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2500,2772,1899,1,B2,525200,2014-12-29 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,37, ,B2,2083 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2500,2772,1899,1,B2,240000,2014-08-04 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,62, ,B1,459 EAST 179 STREET                      ,            ,10457,2,0,2,2000,2340,1998,1,B1,380000,2014-01-14 00:00:00
