Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,70,,A1,4445 PARK AVENUE,,10457,1,0,1,1694,1497,1899,1,A1,388500,2019-07-23 00:00:00
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,29,,A9,2327 WASHINGTON AVENUE,,10458,1,0,1,1095,1260,1910,1,A9,110000,2019-12-06 00:00:00
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3043,55,,A1,1948 BATHGATE AVENUE,,10457,1,0,1,2356,2047,1901,1,A1,470000,2019-03-08 00:00:00
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,39,,A1,2075 BATHGATE AVENUE,,10457,1,0,1,1986,1344,1899,1,A1,420000,2019-05-24 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,137,,B1,496 CLAREMONT PARKWAY,,10457,2,0,2,2000,2400,1993,1,B1,0,2019-06-12 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,149,,B1,523 EAST 171 STREET,,10457,2,0,2,2000,2400,1993,1,B1,505000,2019-11-14 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,152,,B1,517 EAST 171 STREET,,10457,2,0,2,2000,2400,1993,1,B1,630000,2019-08-20 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,119,,B1,1497 CROTONA PLACE,,10456,2,0,2,1900,2394,1994,1,B1,535000,2019-05-08 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,128,,B1,559 CLAREMONT PARKWAY,,10457,2,0,2,2361,2394,1995,1,B1,514216,2019-02-25 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027,26,,B2,414 EAST 178 STREET,,10457,2,0,2,2000,2364,1899,1,B2,365000,2019-11-21 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,61,,B3,4467 PARK AVENUE,,10457,2,0,2,1556,1494,1899,1,B3,310000,2019-04-24 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3036,140,,B1,2063 WASHINGTON AVENUE,,10457,2,0,2,3346,2308,1997,1,B1,640000,2019-02-07 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,32,,B3,455 EAST 180 STREET,,10457,2,0,2,1826,1296,1899,1,B3,1,2019-04-30 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,159,,B1,476 EAST 186 STREET,,10458,2,0,2,2033,2400,1997,1,B1,640000,2019-04-24 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,110,,B1,2044 BATHGATE AVE,,10457,2,0,2,2785,2565,1998,1,B1,610000,2019-06-28 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046,29,,B3,2094 WASHINGTON AVE,,10457,2,0,2,2182,2588,1901,1,B3,450000,2019-01-31 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,39,,B2,2249 BASSFORD AVENUE,,10457,2,0,2,899,1716,1901,1,B2,500000,2019-09-19 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,40,,B2,493 FLETCHER PLACE,,10457,2,0,2,1637,1972,1901,1,B2,410000,2019-02-18 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,64,,B2,506 EAST 183 STREET,,10458,2,0,2,1316,2112,1901,1,B2,477134,2019-08-01 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,90,,B2,505 EAST 182 STREET,,10457,2,0,2,1960,2278,1901,1,B2,360000,2019-08-19 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,4,,B1,507 EAST 183 STREET,,10458,2,0,2,1380,2805,1901,1,B1,440000,2019-10-24 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,5,,B9,509 EAST 183RD STREET,,10458,2,0,2,1420,2805,1901,1,B9,649500,2019-08-23 00:00:00
