Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5395,4, ,A1,26 EDWIN STREET                          ,            ,10312,1,0,1,7654,2277,1980,1,A1,775000,2013-08-26 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5399,26, ,A1,235 KOCH BOULEVARD                       ,            ,10312,1,0,1,9555,1528,1960,1,A1,630000,2013-10-23 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5401,10, ,A2,16 JANSEN STREET                         ,            ,10312,1,0,1,10800,2015,1980,1,A2,705000,2013-02-08 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5405,1, ,A2,355 HAROLD AVENUE                        ,            ,10312,1,0,1,9167,1123,1948,1,A2,0,2013-10-30 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,38, ,A1,117 ELMBANK STREET                       ,            ,10312,1,0,1,2500,1700,1999,1,A1,470000,2013-10-24 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,38, ,A1,117 ELMBANK STREET                       ,            ,10312,1,0,1,2500,1700,1999,1,A1,470000,2013-10-24 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5407,39, ,A2,193 BATHGATE STREET                      ,            ,10312,1,0,1,5000,808,1920,1,A2,0,2013-12-04 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,39, ,A1,23 SANDGAP STREET                        ,            ,10312,1,0,1,2700,684,1950,1,A1,395000,2013-10-09 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,39, ,A1,23 SANDGAP STREET                        ,            ,10312,1,0,1,2700,684,1950,1,A1,200500,2013-05-13 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5426,38, ,A1,25 OCEAN DRIVEWAY                        ,            ,10312,1,0,1,7440,3176,2001,1,A1,0,2013-07-18 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,16, ,A5,93 EAGAN AVENUE                          ,            ,10312,1,0,1,1546,1579,1986,1,A5,348000,2013-06-20 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,29, ,A5,69 EAGAN AVENUE                          ,            ,10312,1,0,1,1546,1579,1986,1,A5,285000,2013-11-08 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,46, ,A5,58 SEGUINE PLACE                         ,            ,10312,1,0,1,2243,1373,1986,1,A5,0,2013-12-18 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,54, ,A5,40 SEGUINE PLACE                         ,            ,10312,1,0,1,2023,1068,1986,1,A5,0,2013-10-22 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,54, ,A5,40 SEGUINE PLACE                         ,            ,10312,1,0,1,2023,1068,1986,1,A5,0,2013-10-22 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,55, ,A5,36 SEGUINE PLACE                         ,            ,10312,1,0,1,1471,1068,1986,1,A5,0,2013-02-15 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,67, ,A5,22 SEGUINE PLACE                         ,            ,10312,1,0,1,1471,1068,1986,1,A5,0,2013-06-21 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,20, ,A5,9 EAGAN AVENUE                           ,            ,10312,1,0,1,1508,1521,1986,1,A5,358000,2013-06-17 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,34, ,A5,100 SEGUINE PLACE                        ,            ,10312,1,0,1,1550,1521,1986,1,A5,333000,2013-10-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,44, ,A5,50 LUCY LOOP                             ,            ,10312,1,0,1,2700,2200,2000,1,A5,0,2013-02-04 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6215,39, ,A2,130 FABIAN STREET                        ,            ,10312,1,0,1,10000,1464,1955,1,A2,580000,2013-11-20 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,11, ,A1,25 FABIAN STREET                         ,            ,10312,1,0,1,10000,2488,1970,1,A1,0,2013-12-16 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,18, ,A1,120 SNEDEN AVENUE                        ,            ,10312,1,0,1,8400,1189,1925,1,A1,0,2013-11-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,32, ,A1,8 EAGAN AVENUE                           ,            ,10312,1,0,1,2500,1630,2005,1,A1,0,2013-01-30 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,33, ,A5,10 EAGAN AVENUE                          ,            ,10312,1,0,1,2333,1515,1994,1,A5,355000,2013-12-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,16, ,A5,94 LORRAINE AVENUE                       ,            ,10312,1,0,1,1650,2285,2004,1,A5,400000,2013-05-06 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,30, ,A5,18 LORRAINE AVENUE                       ,            ,10312,1,0,1,16541,1816,2002,1,A5,440000,2013-05-15 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,57, ,A5,28 ENDVIEW STREET                        ,            ,10312,1,0,1,2678,1816,2003,1,A5,0,2013-04-22 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,61, ,A5,36 ENDVIEW STREET                        ,            ,10312,1,0,1,1648,1816,2003,1,A5,360000,2013-09-11 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6221,13, ,A1,1004 ARDEN AVENUE                        ,            ,10312,1,0,1,3675,770,1925,1,A1,325000,2013-12-13 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6222,45, ,A5,33 LORRAINE AVENUE                       ,            ,10312,1,0,1,2400,2100,2004,1,A5,0,2013-05-14 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,49, ,A1,790 ANNADALE ROAD                        ,            ,10312,1,0,1,3720,960,1925,1,A1,0,2013-12-05 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,123, ,A2,961 CARLTON BOULEVARD                    ,            ,10312,1,0,1,9180,900,1960,1,A2,225000,2013-12-30 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,31, ,A1,150 DETROIT AVE                          ,            ,10312,1,0,1,4000,2196,2012,1,A1,722957,2013-05-23 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,33, ,A2,146 DETROIT AVENUE                       ,            ,10312,1,0,1,4000,1848,1965,1,A2,0,2013-05-01 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,60, ,A1,924 CARLTON BOULEVARD                    ,            ,10312,1,0,1,4000,1613,1910,1,A1,636250,2013-11-25 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6230,39, ,A2,620 DRUMGOOLE ROAD EAST                  ,            ,10312,1,0,1,4000,768,1930,1,A2,125000,2013-10-29 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6230,39, ,A2,620 DRUMGOOLE ROAD EAST                  ,            ,10312,1,0,1,4000,768,1930,1,A2,0,2013-02-18 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6232,72, ,A2,994 DRUMGOOLE ROAD WEST                  ,            ,10312,1,0,1,3600,984,1960,1,A2,0,2013-03-18 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6233,7, ,A3,295 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,4000,2900,1990,1,A3,325000,2013-09-09 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6233,62, ,A2,147 RATHBUN AVENUE                       ,            ,10312,1,0,1,4000,1092,1960,1,A2,458000,2013-12-13 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6234,7, ,A1,329 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,4000,2178,1965,1,A1,655000,2013-02-28 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6235,21, ,A1,146 SINCLAIR AVENUE                      ,            ,10312,1,0,1,8000,2240,1964,1,A1,605000,2013-08-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6235,29, ,A2,128 SINCLAIR AVENUE                      ,            ,10312,1,0,1,8000,1269,1958,1,A2,10,2013-08-29 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6236,41, ,A1,516 ARDEN AVENUE                         ,            ,10312,1,0,1,6000,1306,1935,1,A1,0,2013-03-05 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6236,72, ,A2,153 SINCLAIR AVENUE                      ,            ,10312,1,0,1,10000,3280,1975,1,A2,0,2013-02-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6236,72, ,A2,153 SINCLAIR AVENUE                      ,            ,10312,1,0,1,10000,3280,1975,1,A2,0,2013-02-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1B,6237,15, ,V0,228 VINELAND AVENUE                      ,            ,10312,1,0,1,7000,0,1950,1,A2,1100000,2013-09-30 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6239,67, ,A1,225 CROWN AVENUE                         ,            ,10312,1,0,1,9600,3680,1980,1,A1,915000,2013-05-31 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6242,70, ,A1,27 SUMMIT PLACE                          ,            ,10312,1,0,1,8250,2560,1975,1,A1,462500,2013-05-16 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6243,45, ,A3,124 BARCLAY AVENUE                       ,            ,10312,1,0,1,5000,3156,2012,1,A3,790000,2013-10-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6245,1, ,A2,4969 AMBOY ROAD                          ,            ,10312,1,0,1,7695,1300,1960,1,A2,325000,2013-06-27 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,25, ,A1,1052 ANNADALE ROAD                       ,            ,10312,1,0,1,4386,2300,2011,1,A1,507000,2013-04-17 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,25, ,A1,1052 ANNADALE ROAD                       ,            ,10312,1,0,1,4386,2300,2011,1,A1,0,2013-02-13 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,26, ,A1,1054 ANNADALE ROAD                       ,            ,10312,1,0,1,4201,2300,2011,1,A1,499902,2013-07-26 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1B,6249,33, ,V0,1042 ANNADALE ROAD                       ,            ,10312,1,0,1,4083,0,1925,1,A1,629111,2013-05-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1B,6249,38, ,V0,1040 ANNADALE ROAD                       ,            ,10312,1,0,1,7198,0,1925,1,A1,570189,2013-05-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,163, ,A1,39 ELY AVENUE                            ,            ,10312,1,0,1,4452,1768,1965,1,A1,500000,2013-01-28 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,215, ,A1,1002 ANNADALE ROAD                       ,            ,10312,1,0,1,4980,2208,2012,1,A1,595676,2013-05-31 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,239, ,A2,116 NORTH PINE TERRACE                   ,            ,10312,1,0,1,4000,2008,1965,1,A2,0,2013-08-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,239, ,A2,116 NORTH PINE TERRACE                   ,            ,10312,1,0,1,4000,2008,1965,1,A2,0,2013-07-21 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,268, ,A2,145 NORTH PINE TERRACE                   ,            ,10312,1,0,1,7920,1912,1965,1,A2,525000,2013-08-01 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,421, ,A1,908 ANNADALE ROAD                        ,            ,10312,1,0,1,3795,1900,1950,1,A1,460000,2013-10-15 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6259,40, ,A2,100 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,4000,1300,1955,1,A2,485000,2013-05-23 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6260,14, ,A2,242 EDGEGROVE AVENUE                     ,            ,10312,1,0,1,4000,1092,1955,1,A2,0,2013-01-31 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6260,22, ,A1,220 EDGEGROVE AVENUE                     ,            ,10312,1,0,1,5200,2396,1925,1,A1,0,2013-10-21 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6261,59, ,A2,237 EDGEGROVE AVENUE                     ,            ,10312,1,0,1,4000,1150,1925,1,A2,375000,2013-09-17 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6266,27, ,A1,278 SHELDON AVENUE                       ,            ,10312,1,0,1,4000,1494,1930,1,A1,465000,2013-05-15 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6267,38, ,A3,346 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,6000,4160,2011,1,A3,865000,2013-05-23 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6267,66, ,A1,309 SHELDON AVENUE                       ,            ,10312,1,0,1,3800,3175,2000,1,A1,690000,2013-09-23 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6271,15, ,A1,472 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,3840,1968,1940,1,A1,540000,2013-01-14 00:00:00
