Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,22,,A9,8645 16TH AVENUE,,11214,1,0,1,2058,1492,1930,1,A9,0,2019-04-23 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,48,,A9,12 BAY 13TH STREET,,11214,1,0,1,3142,3200,1999,1,A9,0,2019-02-27 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,48,,A9,12 BAY 13TH STREET,,11214,1,0,1,3142,3200,1999,1,A9,0,2019-02-11 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6364,74,,A5,72 BAY 14TH STREET,,11214,1,0,1,2492,972,1950,1,A5,0,2019-08-15 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,42,,S1,1730 86TH STREET,,11214,1,1,2,1342,1920,1926,1,S1,1630000,2019-02-08 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,43,,S1,1732 86TH STREET,,11214,1,1,2,1342,1920,1926,1,S1,1630000,2019-02-08 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6370,66,,A9,28 BAY 20TH STREET,,11214,1,0,1,2417,1584,1930,1,A9,0,2019-06-18 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6370,66,,A9,28 BAY 20TH STREET,,11214,1,0,1,2417,1584,1930,1,A9,0,2019-06-11 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6377,32,,A9,23 BAY 26TH STREET,,11214,1,0,1,3867,2288,1899,1,A9,1200000,2019-09-20 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6395,20,,A5,135 BAY 10TH STREET,,11228,1,0,1,2417,2000,1935,1,A5,0,2019-09-09 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6397,63,,A2,132 BAY 13 STREET,,11214,1,0,1,2708,730,1910,1,A2,1150000,2019-03-28 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6401,10,,S1,1725 BATH AVENUE,,11214,1,1,2,1160,2320,1920,1,S1,980000,2019-02-21 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402,4,,S1,1763 BATH AVENUE,,11214,1,1,2,980,1525,1927,1,S1,0,2019-06-19 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6425,15,,B1,231 BAY 7TH STREET,,11228,2,0,2,2191,1708,1935,1,A5,990000,2019-10-10 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6427,21,,A1,8805 15TH AVENUE,,11228,1,0,1,4559,1440,1920,1,A1,999000,2019-05-28 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6428,65,,A9,228 BAY 11TH STREET,,11228,1,0,1,1990,1328,1925,1,A9,0,2019-08-02 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,10,,A5,235 BAY 11TH STREET,,11228,1,0,1,1800,1296,1935,1,A5,0,2019-09-25 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,56,,A5,8804 16TH AVENUE,,11214,1,0,1,1655,1156,1960,1,A5,0,2019-11-25 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,30,,S1,2004 BATH AVENUE,,11214,1,1,2,755,1330,1925,1,S1,0,2019-05-07 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,66,,A9,300 BAY 10TH STREET,,11228,1,0,1,1933,1152,1920,1,A9,850000,2019-10-29 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,67,,A9,302 BAY 10TH STREET,,11228,1,0,1,1933,1152,1920,1,A9,768000,2019-06-17 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,212,,A5,8866 16TH AVENUE,,11214,1,0,1,1696,992,1950,1,A5,765000,2019-09-05 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,219,,A5,88-80 16TH AVENUE,,11214,1,0,1,1760,992,1950,1,A5,0,2019-05-22 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,76,,A5,317 BAY 14TH STREET,,11214,1,0,1,1511,992,1950,1,A5,770000,2019-05-22 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,94,,A5,275 BAY 14TH STREET,,11214,1,0,1,1795,1152,1930,1,A5,830000,2019-07-19 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,256,,A5,298 BAY 13TH STREET,,11214,1,0,1,1649,928,1945,1,A5,717866,2019-11-14 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,283,,A5,279 BAY 13TH STREET,,11214,1,0,1,1649,928,1940,1,A5,680000,2019-02-14 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,293,,A5,8881 16TH AVENUE,,11214,1,0,1,2127,1188,1940,1,A5,0,2019-02-15 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,293,,A5,8881 16TH AVENUE,,11214,1,0,1,2127,1188,1940,1,A5,858000,2019-12-16 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,301,,A5,317 BAY 13TH STREET,,11214,1,0,1,1619,928,1940,1,A5,0,2019-09-04 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,302,,A5,319 BAY 13TH STREET,,11214,1,0,1,1619,928,1940,1,A5,680000,2019-08-29 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,304,,A5,323 BAY 13TH STREET,,11214,1,0,1,1619,928,1940,1,A5,0,2019-08-23 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,308,,A5,331 BAY 13TH STREET,,11214,1,0,1,2074,1240,1940,1,A5,550000,2019-11-06 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,335,,A5,1141 SHORE PARKWAY,,11214,1,0,1,1878,986,1945,1,A5,832000,2019-06-11 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,338,,A5,1127 SHORE PARKWAY,,11214,1,0,1,1775,1188,1940,1,A5,890000,2019-12-20 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6464,161,,A5,8878 19TH AVENUE,,11214,1,0,1,1547,1320,1940,1,A5,10,2019-11-05 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,81,,A5,240 BAY 23RD STREET,,11214,1,0,1,1780,1320,1945,1,A5,730000,2019-08-20 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,91,,A5,243 BAY 23RD STREET,,11214,1,0,1,6367,1320,1945,1,A5,850000,2019-02-12 00:00:00
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,91,,A5,243 BAY 23 STREET,,11214,1,0,1,6367,1320,1945,1,A5,995000,2019-11-05 00:00:00
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,5,,B1,8671 14TH AVENUE,,11228,2,0,2,2320,2160,1930,1,B1,0,2019-08-08 00:00:00
