Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6373,88, ,A1,92 BAY 23RD STREET                       ,            ,11214,1,0,1,2790,1376,1940,1,A1,0,2011-02-08 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6380,71, ,A5,8668 BAY PARKWAY                         ,            ,11214,1,0,1,1740,1782,1960,1,A5,610000,2011-10-24 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6399,4, ,S1,1665 BATH AVENUE                         ,            ,11214,1,1,2,1260,1440,1940,1,S1,0,2011-07-11 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6399,7, ,S1,1657 BATH AVENUE                         ,            ,11214,1,1,2,1260,1440,1930,1,S1,468000,2011-06-13 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6408,48, ,S1,1967 BATH AVENUE                         ,            ,11214,1,1,2,1583,2052,1920,1,S1,0,2011-11-11 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6412,31, ,A1,8701 21ST AVENUE                         ,            ,11214,1,0,1,3867,3122,1925,1,A1,751000,2011-04-19 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6413,20, ,A1,121 BAY 28TH STREET                      ,            ,11214,1,0,1,5848,3465,1915,1,A1,0,2011-06-21 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6431,5, ,A9,1641 CROPSEY AVENUE                      ,            ,11214,1,0,1,1568,2390,1930,1,A9,555000,2011-03-16 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6433,10, ,A5,1703 CROPSEY AVENUE                      ,            ,11214,1,0,1,1438,2490,1937,1,A5,0,2011-09-23 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6442,131, ,S1,2012 BATH AVENUE                         ,            ,11214,1,1,2,709,1178,1925,1,S1,0,2011-07-18 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6445,30, ,S1,2104 BATH AVENUE                         ,            ,11214,1,1,2,1017,1530,1905,1,S1,465000,2011-03-25 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6459,77, ,A5,8928 15TH AVENUE                         ,            ,11228,1,0,1,1933,2100,1910,1,A5,595000,2011-10-18 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,59, ,A1,284 BAY 10TH   STREET                    ,            ,11228,1,0,1,3867,2007,1925,1,A1,0,2011-11-14 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,66, ,A9,300 BAY 10TH   STREET                    ,            ,11228,1,0,1,1933,1152,1920,1,A9,499000,2011-11-04 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,67, ,A9,302 BAY 10 STREET                        ,            ,11228,1,0,1,1933,1152,1920,1,A9,0,2011-05-31 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,240, ,A5,1596 INDEPENDENCE AVENUE                 ,            ,11228,1,0,1,1683,1488,1950,1,A5,525000,2011-07-26 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,245, ,A5,1586 INDEPENDENCE AVE                    ,            ,11228,1,0,1,2307,1782,1950,1,A5,0,2011-05-12 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,267, ,A9,304 BAY 10 STREET                        ,            ,11228,1,0,1,1933,1504,1920,1,A9,0,2011-05-31 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,89, ,A5,285 BAY 14TH STREET                      ,            ,11214,1,0,1,1795,1728,1930,1,A5,0,2011-12-01 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,134, ,A5,318 BAY 14TH   STREET                    ,            ,11214,1,0,1,1511,1392,1950,1,A5,520000,2011-02-07 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,217, ,A5,8929 16TH AVENUE                         ,            ,11214,1,0,1,1944,1782,1940,1,A5,0,2011-09-09 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,284, ,A5,281 BAY 13TH STREET                      ,            ,11214,1,0,1,1649,1392,1940,1,A5,475000,2011-02-15 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,313, ,A5,1153 SHORE PARKWAY                       ,            ,11214,1,0,1,1966,1392,1940,1,A5,529500,2011-02-28 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6463,127, ,A5,8849 18TH   AVENUE                       ,            ,11214,1,0,1,1384,992,1950,1,A5,490000,2011-04-26 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6465,89, ,A5,8855 19TH   AVENUE                       ,            ,11214,1,0,1,1740,1485,1940,1,A5,580000,2011-06-10 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6466,85, ,A5,248 BAY 23RD   STREET                    ,            ,11214,1,0,1,5940,1320,1945,1,A5,0,2011-06-28 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6357,2, ,B1,8681 14TH   AVENUE                       ,            ,11228,2,0,2,2320,2700,1930,1,B1,822000,2011-06-23 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6357,21, ,B1,8629 14TH AVENUE                         ,            ,11228,2,0,2,2320,2700,1930,1,B1,850000,2011-01-11 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6358,1, ,B1,83 BAY 7TH   STREET                      ,            ,11228,2,0,2,1933,4080,1930,1,B1,938000,2011-03-03 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6358,18, ,B1,35 BAY 7TH STREET                        ,            ,11228,2,0,2,2320,2960,1930,1,B1,840000,2011-07-01 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6359,56, ,B1,8644 15TH   AVENUE                       ,            ,11228,2,0,2,2320,3160,1930,1,B1,650000,2011-08-30 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6360,21, ,B1,8649 15TH AVENUE                         ,            ,11228,2,0,2,1547,2224,1930,1,B1,0,2011-05-04 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6360,69, ,B3,60 BAY 10TH STREET                       ,            ,11228,2,0,2,1547,1428,1930,1,B3,586000,2011-09-27 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,2, ,B1,1543 BENSON AVENUE                       ,            ,11228,2,0,2,2383,2242,1930,1,B1,0,2011-03-30 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,26, ,B3,35 BAY 10TH   STREET                     ,            ,11228,2,0,2,2103,1622,1930,1,B3,0,2011-09-06 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,62, ,B1,52 BAY 11TH STREET                       ,            ,11228,2,0,2,2320,2160,1930,1,B1,755000,2011-10-21 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6363,25, ,B3,8637 16TH   AVENUE                       ,            ,11214,2,0,2,2058,1492,1930,1,B3,555000,2011-07-13 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6363,52, ,B3,22 BAY 13TH   STREET                     ,            ,11214,2,0,2,4333,2134,1901,1,B3,0,2011-10-18 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6363,66, ,B2,54 BAY 13TH   STREET                     ,            ,11214,2,0,2,4333,2200,1899,1,B2,0,2011-08-03 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6364,10, ,B1,75 BAY 13TH STREET                       ,            ,11214,2,0,2,944,1792,1930,1,B1,505000,2011-07-21 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6365,6, ,B1,1663 BENSON AVENUE                       ,            ,11214,2,0,2,2520,2048,1910,1,B1,0,2011-10-06 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6365,59, ,B1,8638 17TH   AVENUE                       ,            ,11214,2,0,2,2763,2400,1950,1,B1,848000,2011-02-18 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6368,4, ,B3,73 BAY 17TH   STREET                     ,            ,11214,2,0,2,3093,1490,1915,1,B3,600000,2011-05-18 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6368,48, ,S2,8644 18TH AVENUE                         ,            ,11214,2,1,3,2626,3600,1923,1,S2,0,2011-11-08 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6368,48, ,S2,8644 18TH   AVENUE                       ,            ,11214,2,1,3,2626,3600,1923,1,S2,738000,2011-05-11 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6369,82, ,B3,76 BAY 19TH STREET                       ,            ,11214,2,0,2,965,1200,1930,1,B3,550000,2011-03-23 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6370,89, ,B2,88 BAY 20TH STREET                       ,            ,11214,2,0,2,8689,2051,2011,1,B2,0,2011-07-22 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6370,89, ,B2,88 BAY 20TH   STREET                     ,            ,11214,2,0,2,8689,2051,2011,1,B2,1480000,2011-01-19 00:00:00
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6371,30, ,B3,47 BAY 20TH   STREET                     ,            ,11214,2,0,2,2175,2800,1930,1,B3,635000,2011-07-26 00:00:00
