Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,65,,A3,22 BLUE HERON DRIVE,,10312,1,0,1,8000,3000,1987,1,A3,1185000,2018-03-19 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,8,,A1,254 SHIRLEY AVENUE,,10312,1,0,1,7500,3205,1970,1,A1,915000,2018-12-21 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,46,,A1,119 LENZIE STREET,,10312,1,0,1,8000,3660,1998,1,A1,1250000,2018-11-01 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,26,,A2,87 ELMBANK STREET,,10312,1,0,1,5000,912,1950,1,A2,530000,2018-04-27 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5408,7,,A2,192 BATHGATE STREET,,10312,1,0,1,2500,572,1930,1,A2,375000,2018-09-27 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,,A2,7 SANDGAP STREET,,10312,1,0,1,2500,624,1925,1,A2,208000,2018-08-29 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,41,,A5,68 SEGUINE PLACE,,10312,1,0,1,2243,1373,1986,1,A5,460000,2018-03-23 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,65,,A5,24 SEGUINE PLACE,,10312,1,0,1,2267,1320,1986,1,A5,0,2018-10-11 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,112,,A5,50 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,525000,2018-10-22 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,112,,A5,50 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,638729,2018-04-24 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,119,,A5,34 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,625000,2018-06-28 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,6,,A5,31 EAGAN AVENUE,,10312,1,0,1,1800,1825,1986,1,A5,500000,2018-10-18 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,22,,A5,5 EAGAN AVENUE,,10312,1,0,1,1508,1521,1986,1,A5,346788,2018-11-29 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,,A5,94 SEGUINE PLACE,,10312,1,0,1,2300,1320,1986,1,A5,100,2018-03-23 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,,A5,94 SEGUINE PLACE,,10312,1,0,1,2300,1320,1986,1,A5,395460,2018-09-20 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,41,,A5,90 SEGUINE PLACE,,10312,1,0,1,1508,1068,1986,1,A5,0,2018-06-13 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,161,,A5,97 JEANETTE AVENUE,,10312,1,0,1,2720,1734,2007,1,A5,0,2018-02-02 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,10,,A2,147 FABIAN STREET,,10312,1,0,1,4200,1848,1965,1,A2,0,2018-06-12 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,47,,A1,76 EAGAN AVENUE,,10312,1,0,1,10000,1718,0,1,A1,625000,2018-02-28 00:00:00
