Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,13,,A5,4716 AMBOY ROAD,,10312,1,0,1,1871,910,2002,1,A5,0,2019-07-10 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5393,29,,A1,21 FINGAL STREET,,10312,1,0,1,9000,3540,1985,1,A1,1650000,2019-03-14 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,23,,A1,525 SYCAMORE STREET,,10312,1,0,1,10000,2848,1980,1,A1,775000,2019-12-13 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,20,,A1,1468 ARDEN AVENUE,,10312,1,0,1,5000,2200,1940,1,A1,685000,2019-04-15 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5399,15,,A2,2 SANDBORN STREET,,10312,1,0,1,4845,880,1950,1,A2,0,2019-01-24 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5399,33,,A2,247 KOCH BOULEVARD,,10312,1,0,1,7035,1528,1970,1,A2,0,2019-08-07 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5405,5,,A2,108 LENZIE STREET,,10312,1,0,1,5000,756,1920,1,A2,620000,2019-02-14 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5405,28,,A1,155 KINGHORN STREET,,10312,1,0,1,9000,4350,1899,1,A1,0,2019-03-01 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,39,,B2,193 BATHGATE STREET,,10312,2,0,2,5000,2800,2018,1,A2,1221900,2019-05-09 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,19,,A1,9 SANDGAP STREET,,10312,1,0,1,2500,1744,1950,1,A1,520000,2019-08-14 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,,A2,7 SANDGAP STREET,,10312,1,0,1,2500,624,1925,1,A2,0,2019-05-28 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,35,,A2,13 SANDGAP STREET,,10312,1,0,1,2500,400,1997,1,A2,0,2019-04-09 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,36,,A1,19 SANDGAP STREET,,10312,1,0,1,4800,1104,1915,1,A1,0,2019-04-09 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426,20,,A1,1754 ARDEN AVENUE,,10312,1,0,1,2650,1800,1997,1,A1,650000,2019-04-15 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,29,,A5,69 EAGAN AVE,,10312,1,0,1,1546,1579,1986,1,A5,34000,2019-01-18 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,44,,A5,62 SEGUINE PLACE,,10312,1,0,1,1755,1373,1986,1,A5,430000,2019-09-30 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,55,,A5,36 SEGUINE PLACE,,10312,1,0,1,1471,1068,1986,1,A5,363000,2019-03-28 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,57,,A5,34 SEGUINE PLACE,,10312,1,0,1,1471,1068,1986,1,A5,370000,2019-09-26 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,111,,A5,52 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,609000,2019-03-08 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6209,17,,A5,208 SNEDEN AVENUE,,10312,1,0,1,1950,1592,2006,1,A5,0,2019-09-13 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,28,,A1,96 JEANNETTE AVENUE,,10312,1,0,1,5400,2376,1970,1,A1,685000,2019-06-25 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,87,,A2,1090 ARDEN AVENUE,,10312,1,0,1,4200,2352,1970,1,A2,444132,2019-03-11 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,35,,A5,54 EAGAN AVENUE,,10312,1,0,1,2400,1368,2000,1,A5,0,2019-12-13 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6215,4,,A1,179 BARCLAY AVENUE,,10312,1,0,1,5000,1118,1925,1,A1,0,2019-12-10 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6215,44,,A2,142 FABIAN STREET,,10312,1,0,1,7500,800,1955,1,A2,625000,2019-07-25 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,35,,A5,14 EAGAN AVENUE,,10312,1,0,1,1333,1515,1994,1,A5,0,2019-05-30 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,139,,A5,28 EAGAN AVENUE,,10312,1,0,1,1333,1515,1992,1,A5,450000,2019-10-08 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6217,13,,A1,109 BARCLAY AVENUE,,10312,1,0,1,5000,1617,1965,1,A1,0,2019-10-16 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,15,,A5,43 BARB STREET,,10312,1,0,1,1585,1339,2004,1,A5,0,2019-01-16 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,17,,A5,37 BARB STREET,,10312,1,0,1,2575,1339,2004,1,A5,570000,2019-03-29 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,71,,A5,58 ENDVIEW STREET,,10312,1,0,1,1648,1344,2003,1,A5,550000,2019-07-09 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,50,,A5,39 JEANNETTE AVENUE,,10312,1,0,1,2400,1580,2004,1,A5,615000,2019-03-26 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,46,,A5,31 LORRAINE AVENUE,,10312,1,0,1,2400,1500,2004,1,A5,0,2019-10-01 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,54,,A1,11 LORRAINE AVENUE,,10312,1,0,1,8000,4011,2000,1,A1,979200,2019-10-25 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6227,55,,A2,910 CARLTON BLVD,,10312,1,0,1,4000,2002,1960,1,A2,690000,2019-06-14 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6229,7,,A1,171 JEFFERSON BOULEVARD,,10312,1,0,1,7920,2472,1955,1,A1,0,2019-05-31 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,39,,A2,620 DRUMGOOLE ROAD EAST,,10312,1,0,1,4000,900,1930,1,A2,490000,2019-10-18 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,41,,A2,614 DRUMGOOLE ROAD EAST,,10312,1,0,1,8000,1379,1960,1,A2,0,2019-12-06 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6233,41,,A1,590 ARDEN AVENUE,,10312,1,0,1,8000,1920,1930,1,A1,850000,2019-08-12 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6233,60,,A2,143 RATHBUN AVENUE,,10312,1,0,1,4000,2112,1965,1,A2,566000,2019-06-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6234,45,,A2,578 ARDEN AVENUE,,10312,1,0,1,4200,1290,1935,1,A2,526000,2019-10-01 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6234,59,,A2,193 RENSSELAER AVENUE,,10312,1,0,1,4000,2100,1970,1,A2,630000,2019-12-06 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6235,47,,G0,552 ARDEN AVENUE,,10312,0,0,0,6000,0,1935,1,A1,411000,2019-07-30 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6237,23,,A1,210 VINELAND AVENUE,,10312,1,0,1,4000,2350,2005,1,A1,895000,2019-03-04 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6238,45,,A1,464 ARDEN AVENUE,,10312,1,0,1,6350,2322,1975,1,A1,799990,2019-11-08 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6240,70,,A1,41 FORNES PLACE,,10312,1,0,1,10000,3865,1975,1,A1,570000,2019-02-11 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6242,67,,A1,33 SUMMIT PLACE,,10312,1,0,1,5500,2149,1983,1,A1,875000,2019-07-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6244,2,,S0,895 ANNADALE ROAD,,10312,1,2,3,7000,3300,1930,1,S0,375000,2019-12-23 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,6,,A2,4983 AMBOY ROAD,,10312,1,0,1,8700,944,1960,1,A2,360000,2019-01-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,183,,A2,47 PINE TERRACE,,10312,1,0,1,4500,1638,1960,1,A2,701000,2019-10-02 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,183,,A2,47 PINE TERRACE,,10312,1,0,1,4500,1638,1960,1,A2,480000,2019-01-18 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,255,,A1,39 FURMAN STREET,,10312,1,0,1,4000,2224,1970,1,A1,550000,2019-11-26 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6251,90,,A1,14 DOWNES AVENUE,,10312,1,0,1,8000,2250,1985,1,A1,0,2019-07-01 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6252,1,,A2,87 DOWNES AVENUE,,10312,1,0,1,4000,2200,1974,1,A2,690000,2019-08-19 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6254,12,,A2,116 NORTH RAILROAD STREET,,10312,1,0,1,4000,1222,1970,1,A2,515000,2019-06-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6260,14,,A2,242 EDGEGROVE AVENUE,,10312,1,0,1,4000,1092,1955,1,A2,535000,2019-11-22 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6260,42,,A2,132 JEFFERSON BOULEVARD,,10312,1,0,1,7350,912,1940,1,A2,465000,2019-10-08 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6264,27,,A1,212 RATHBUN AVENUE,,10312,1,0,1,14320,2000,1920,1,A1,0,2019-01-08 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6267,9,,A1,313 SHELDON AVENUE,,10312,1,0,1,8000,1800,1945,1,A1,1189802,2019-11-19 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6267,15,,A1,301 SHELDON AVENUE,,10312,1,0,1,8000,625,1925,1,A1,740000,2019-01-14 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6268,11,,A2,274 STAFFORD AVENUE,,10312,1,0,1,3800,1008,1970,1,A2,0,2019-11-21 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6271,13,,A1,478 JEFFERSON BOULEVARD,,10312,1,0,1,4000,1804,1940,1,A1,600000,2019-03-01 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6272,19,,A1,14 CANTON AVENUE,,10312,1,0,1,3960,2267,2017,1,A1,870000,2019-09-27 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6273,7,,A1,756 WOODROW ROAD,,10312,1,0,1,6656,2450,1965,1,A1,665000,2019-04-04 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6273,22,,A1,16 HOLCOMB AVENUE,,10312,1,0,1,4000,1690,1945,1,A1,575000,2019-07-26 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6283,31,,A1,337 IONIA AVENUE,,10312,1,0,1,5700,2420,1985,1,A1,705000,2019-05-24 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6298,43,,A2,443 LAMONT AVENUE,,10312,1,0,1,8000,1816,1970,1,A2,0,2019-07-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6301,58,,A1,471 RENSSELAER AVENUE,,10312,1,0,1,4000,2317,2017,1,A1,948578,2019-02-11 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6303,68,,A1,141 DELMAR AVENUE,,10312,1,0,1,6000,2976,1977,1,A1,900000,2019-09-13 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6350,26,,A3,132 BENNETT PLACE,,10312,1,0,1,9975,4936,1989,1,A3,1687000,2019-11-26 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6352,40,,A3,68 BAYVIEW TERRACE,,10312,1,0,1,11721,8200,1992,1,A3,100,2019-06-18 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6353,51,,A1,90 BAYVIEW TERRACE,,10312,1,0,1,3200,1600,2005,1,A1,0,2019-04-11 00:00:00
