Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,46, ,A1,119 LENZIE STREET                        ,            ,10312,1,0,1,8000,4860,1998,1,A1,0,2010-01-18 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5405,20, ,A2,1634 ARDEN AVENUE                        ,            ,10312,1,0,1,7500,2136,1960,1,A2,585000,2010-02-22 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,11, ,A1,24 ELMBANK STREET                        ,            ,10312,1,0,1,5000,1520,1910,1,A1,583153,2010-01-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5426,16, ,A6,14 SANDGAP STREET                        ,            ,10312,1,0,1,2500,612,1915,1,A6,0,2010-12-22 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,68, ,A5,20 SEGUINE PLACE                         ,            ,10312,1,0,1,1471,1068,1986,1,A5,290000,2010-06-03 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,122, ,A5,28 MAY PLACE                             ,            ,10312,1,0,1,2475,2495,1986,1,A5,0,2010-04-30 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,128, ,A5,14 MAY PLACE                             ,            ,10312,1,0,1,2400,2495,1986,1,A5,493000,2010-07-21 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,44, ,A5,84 SEGUINE PLACE                         ,            ,10312,1,0,1,2300,1825,1986,1,A5,418000,2010-03-31 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,51, ,A5,72 SEGUINE PLACE                         ,            ,10312,1,0,1,1508,1068,1986,1,A5,10000,2010-09-01 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,60, ,A5,89 LORRAINE AVENUE                       ,            ,10312,1,0,1,1650,2048,2004,1,A5,400000,2010-11-08 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,79, ,A2,1072 ARDEN AVENUE                        ,            ,10312,1,0,1,4200,500,1925,1,A2,0,2010-07-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,172, ,A1,73 JEANNETTE AVENUE                      ,            ,10312,1,0,1,4500,2454,1965,1,A1,802500,2010-09-21 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6219,11, ,A5,84 LORRAINE AVENUE                       ,            ,10312,1,0,1,2700,2285,2004,1,A5,423000,2010-01-27 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,20, ,A5,31 BARB STREET                           ,            ,10312,1,0,1,1585,1661,2004,1,A5,420000,2010-06-24 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6220,59, ,A5,32 ENDVIEW STREET                        ,            ,10312,1,0,1,1648,1816,2003,1,A5,0,2010-08-11 00:00:00
