Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5395,19, ,A1,4 EDWIN STREET, ,10312,1,0,1,7258,2230,1980,1,A1,866000,2017-08-03 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5407,10, ,A2,112 ELMBANK STREET, ,10312,1,0,1,6242,1768,1975,1,A2,735000,2017-11-07 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5407,39, ,A2,193 BATHGATE STREET, ,10312,1,0,1,5000,808,1920,1,A2,350000,2017-07-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5426,32, ,A6,3 OCEAN DRIVEWAY, ,10312,1,0,1,2500,540,1910,1,A6,0,2017-06-03 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6205,15, ,A5,95 EAGAN AVENUE, ,10312,1,0,1,1546,1579,1986,1,A5,475000,2017-09-07 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6205,22, ,A5,83 EAGAN AVENUE, ,10312,1,0,1,1546,1579,1986,1,A5,437500,2017-05-30 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6205,58, ,A5,32 SEGUINE PLACE, ,10312,1,0,1,1471,1068,1986,1,A5,0,2017-03-13 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6209,71, ,A5,191 MOSELY AVENUE, ,10312,1,0,1,2665,1592,2007,1,A5,0,2017-05-05 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,6, ,A5,31 EAGAN AVENUE, ,10312,1,0,1,1800,1825,1986,1,A5,354900,2017-12-13 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,14, ,A5,19 EAGAN AVENUE, ,10312,1,0,1,1508,1521,1986,1,A5,412000,2017-08-22 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,16, ,A5,15 EAGAN AVENUE, ,10312,1,0,1,2550,1825,1986,1,A5,250000,2017-12-20 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,34, ,A5,100 SEGUINE PLACE, ,10312,1,0,1,1550,1521,1986,1,A5,439000,2017-06-29 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,40, ,A5,92 SEGUINE PLACE, ,10312,1,0,1,1800,1320,1986,1,A5,300000,2017-06-30 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,40, ,A5,92 SEGUINE PLACE, ,10312,1,0,1,1800,1320,1986,1,A5,410000,2017-12-18 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6212,57, ,A5,95 LORRAINE AVENUE, ,10312,1,0,1,2400,1548,2005,1,A5,520000,2017-09-19 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6212,162, ,A5,93 JEANNETTE AVENUE, ,10312,1,0,1,2720,1734,2007,1,A5,600000,2017-05-23 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6214,12, ,A2,143 FABIAN STREET, ,10312,1,0,1,4300,2270,1965,1,A2,675000,2017-03-03 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6214,35, ,A5,54 EAGAN AVENUE, ,10312,1,0,1,2400,1368,2000,1,A5,0,2017-01-03 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6216,43, ,A5,123 MOSELY AVENUE, ,10312,1,0,1,2500,1472,2001,1,A5,0,2017-02-16 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,1, ,A5,64 LORRAINE AVENUE, ,10312,1,0,1,11830,1700,2004,1,A5,500,2017-11-09 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,6, ,A5,68 LORRAINE AVENUE, ,10312,1,0,1,2584,1700,2004,1,A5,507500,2017-01-13 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,19, ,A5,59 ENDVIEW STREET, ,10312,1,0,1,1759,1700,2004,1,A5,529000,2017-01-09 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,21, ,A5,55 ENDVIEW STREET, ,10312,1,0,1,1759,1700,2004,1,A5,540000,2017-05-22 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,7, ,A5,61 BARB STREET, ,10312,1,0,1,1585,1339,2004,1,A5,535000,2017-05-05 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,10, ,A5,53 BARB STREET, ,10312,1,0,1,1585,1339,2004,1,A5,520000,2017-03-15 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,21, ,A5,29 BARB STREET, ,10312,1,0,1,1485,1339,2004,1,A5,0,2017-01-06 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,50, ,A5,12 ENDVIEW STREET, ,10312,1,0,1,1648,1344,2003,1,A5,0,2017-03-12 00:00:00
